Timestamp,Student name,Do you have some background on Data Mining (CIS 4523/5523) or Machine Learning,Do you have some background on Python or R programming,Do you have some background on Graphs or Statistics
2023/01/19 5:01:18 PM EST,Student 0,Yes,Yes,Yes
2023/01/19 5:03:51 PM EST,Student 1,Yes,Yes,Yes
2023/01/19 5:09:18 PM EST,Student 2,No,Yes,Yes
2023/01/19 5:17:25 PM EST,Student 3,No,Yes,Yes
2023/01/19 5:19:52 PM EST,Student 4,Yes,Yes,Yes
2023/01/19 5:34:15 PM EST,Student 5,Yes,Yes,Yes
2023/01/19 5:37:12 PM EST,Student 6,Yes,Yes,Yes
2023/01/19 5:59:03 PM EST,Student 7,Yes,Yes,Yes
2023/01/19 9:53:45 PM EST,Student 8,No,Yes,Yes
2023/01/20 8:45:42 AM EST,Student 9,Yes,Yes,Yes
2023/01/20 1:40:35 PM EST,Student 10,Yes,Yes,Yes
2023/01/20 2:19:21 PM EST,Student 11,Yes,Yes,Yes
